description,category
cash payment,other
bus ride,transport
farm seeds,agriculture
NEFT Dr-AXIS0000621-ARJUN MENON-Practo Pharmacy,healthcare
UPI-Swiggy Instamart-karan.214@paytm-AXIS-449825198-UPI,food
college admission fee,education
paid Lifestyle Stores for new outfit,shopping
exam fees,education
UPI/GST on Bank Charges/karan.251@oksbi/Payment/ICICI,other
small cash expense,other
salon appointment at Naturals Salon,shopping
children clothes,shopping
saree for festival,shopping
ACH/TP ACH Apollo Pharmacy 8925395882,healthcare
monthly subscription renewal for JioHotstar,other
ACH/TP ACH RedBus 7209221346,transport
UPI/Vodafone Idea/anita.186@ybl/Payment/ICICI,bills
coffee at McDonald's,food
hotel booked through MakeMyTrip,transport
clothes purchase,shopping
bought medicines from Apollo Pharmacy,healthcare
UPI/McDonald's/rahul.283@okhdfcbank/Payment/KOTAK,food
IMPS-3666440505-ARJUN KAPOOR-AXIS-College Tuition NEFT,education
cooking ingredients,food
general payment,other
Practo Pharmacy Ref#33683629,healthcare
UPI/H&M/vikram.930@oksbi/Payment/YES BANK,shopping
BigBasket Ref#86857022,food
irrigation expense,agriculture
shirt and pants,shopping
gym membership fee for Naturals Salon,shopping
bike fuel,transport
vegetable stall payment,food
NEFT Dr-HDFC0000438-MEERA MENON-YesMadam,shopping
jacket purchase,shopping
IMPS-9337868765-POOJA KAPOOR-AXIS-Housing.com Rent,household
school van fee for Kidzee,education
electricity bill,bills
NEFT Dr-KOTAK0000348-PRIYA MALHOTRA-Cleartrip,transport
doctor consultation,healthcare
petrol refill,transport
unrecorded purchase,other
internet bill paid to Tata Power,bills
POS Nykaa Fashion CHENNAI,shopping
monthly rent paid via Property Owner NEFT,household
hotel booked through Cleartrip,transport
UPI/ACT Fibernet/ritu.721@okhdfcbank/Payment/SBI,bills
water storage container,household
ACH/TP ACH GST on Bank Charges 6992591729,other
communication bill,bills
lunch bill paid at Domino's Pizza,food
home cleaning expense,household
lab test payment,healthcare
paid Swiggy Instamart for groceries,food
tea and sugar,food
water charges,bills
bought clothes online from Max Fashion,shopping
crop treatment expense,agriculture
Air India CHENNAI IN,transport
ACH/TP ACH Apple Music 5319295201,other
IMPS-7868692624-KAVYA CHOPRA-AXIS-Sushil Medical Store,healthcare
UPI-Cult.fit-vikas.760@okicici-KOTAK-693710275-UPI,shopping
Columbia Asia Ref#99928840,healthcare
fuel filled at FASTag Recharge,transport
medical scan,healthcare
IMPS-4902315148-NEHA CHOPRA-YES BANK-Vodafone Idea,bills
POS Bharat Petroleum MUMBAI,transport
monthly rent paid via SBI Home Loan EMI,household
Sportskids Academy GURGAON IN,education
IRCTC Ref#29309867,transport
ACH/TP ACH Adani Electricity 3758898660,bills
doctor consultation fee at Narayana Health,healthcare
field preparation cost,agriculture
train ticket booked via Akasa Air,transport
water payment,bills
petrol purchase,transport
unrecognized payment,other
train ticket,transport
agricultural equipment,agriculture
bought medicines from Practo Pharmacy,healthcare
course payment on College Tuition NEFT,education
OYO Rooms Ref#54540314,transport
NEFT Dr-SBI0000377-DIVYA REDDY-Flipkart,shopping
mobile plan recharge,bills
mosquito net,household
internet charges,bills
gas refill,household
weekly grocery shopping at BigBasket,food
NEFT Dr-YES BANK0000635-KARAN BOSE-Behrouz Biryani,food
tuition fee paid to School Fee Payment,education
miscellaneous bill,other
fertilizer for crop,agriculture
Zepto HYDERABAD IN,food
Unacademy MUMBAI IN,education
IMPS-2076278094-ANJALI BOSE-ICICI-MakeMyTrip,transport
bus fare for work,transport
festival shopping,shopping
UPI/Jawed Habib/kavya.916@okhdfcbank/Payment/SBI,shopping
Adani Electricity BANGALORE IN,bills
bank charged GST on Bank Charges,other
uncategorized spending,other
monthly subscription renewal for PVR Cinemas,other
auto fare to school,transport
Practo Consultation CHENNAI IN,healthcare
farm labor payment,agriculture
school annual fee,education
lunch bill paid at Cafe Coffee Day,food
ACH/TP ACH FASTag Recharge 9411790278,transport
ACH/TP ACH HDFC Home Loan EMI 1837512445,household
bank charged Annual Card Fee,other
coffee at Domino's Pizza,food
broadband bill,bills
monthly phone bill,bills
tuition fee paid to Udemy,education
