description,category
paid Ajio for new outfit,shopping
bank charged Annual Card Fee,other
coffee at Subway,food
Narayana Health Ref#55710862,healthcare
unknown payment,other
fuel purchase,transport
monthly subscription renewal for PVR Cinemas,other
grocery order from JioMart Grocery,food
agriculture labor,agriculture
bought feed for dairy animals,agriculture
UPI-Westside-ritu.208@okhdfcbank-SBI-968747928-UPI,shopping
UPI-Overdraft Interest Charge-vikas.543@oksbi-IDFC-743439241-UPI,other
NEFT Dr-SBI0000577-SNEHA PILLAI-College Tuition NEFT,education
POS BYJU'S PUNE,education
spa session payment at Cult.fit,shopping
bike fuel,transport
ACH/TP ACH Apple Music 5319295201,other
bank charged Overdraft Interest Charge,other
other payment,other
UPI/Sony LIV/pooja.237@okicici/Payment/AXIS,other
UPI-YesMadam-vikas.326@paytm-SBI-346619429-UPI,shopping
health clinic bill,healthcare
POS Sportskids Academy MUMBAI,education
unrecognized payment,other
paid Park+ Parking for a ride,transport
NEFT Dr-YES BANK0000796-ANITA VERMA-BookMyShow,other
exam application fee,education
Columbia Asia DELHI IN,healthcare
UPI-Overdraft Interest Charge-suresh.414@oksbi-KOTAK-617993990-UPI,other
Sony LIV Ref#43401332,other
Bachpan Play School Ref#76346579,education
course payment on School Fee Payment,education
NEFT Dr-IDFC0000261-ANJALI PILLAI-Apple Music,other
paid for spraying pesticides on the field,agriculture
paid for feed for farm animals,agriculture
POS Subway GURGAON,food
doctor consultation fee at Sushil Medical Store,healthcare
school supplies,education
Max Fashion MUMBAI IN,shopping
ACH/TP ACH Adani Electricity 3758898660,bills
festival shopping,shopping
bike petrol,transport
bus pass,transport
semester fee via College Tuition NEFT,education
bought cattle feed for the cows,agriculture
salon appointment at Naturals Salon,shopping
JioMart Grocery HYDERABAD IN,food
BYJU'S DELHI IN,education
IMPS-4227133320-MANOJ KAPOOR-ICICI-Blinkit,food
IMPS-9025456739-DIVYA CHOPRA-YES BANK-Myntra,shopping
NEFT Dr-IDFC0000595-MANOJ MENON-Nykaa Fashion,shopping
pens and pencils,education
farming supplies,agriculture
UPI/Apple Music/rohan.225@okhdfcbank/Payment/HDFC,other
NEFT Dr-YES BANK0000635-KARAN BOSE-Behrouz Biryani,food
household repair items,household
POS OYO Rooms DELHI,transport
purchased irrigation materials for the farm,agriculture
Goibibo Ref#93706601,transport
prescribed drugs,healthcare
UPI-Chimpanzee Play Center-rahul.868@oksbi-IDFC-714195028-UPI,education
market food purchase,food
milk and bread,food
student uniform,education
bought groceries,food
course payment on Unacademy,education
POS Airbnb GURGAON,transport
Unacademy GURGAON IN,education
gas refill,household
goat feed,agriculture
