description,category
"paid for rice seeds for my farm",agriculture
"bought paddy seeds for planting",agriculture
"purchased cotton seeds for the field",agriculture
"bought tomato seeds for farming",agriculture
"paid for vegetable seedlings",agriculture
"purchased maize seeds for the farm",agriculture
"bought fertilizer for the paddy crop",agriculture
"paid for urea fertilizer for the field",agriculture
"purchased organic manure for crops",agriculture
"bought fertilizer and manure for farming",agriculture
"paid for pesticide spray on the crops",agriculture
"purchased insecticide for the cotton field",agriculture
"paid for crop pest control",agriculture
"bought weed control medicine for the farm",agriculture
"paid for spraying pesticides on the field",agriculture
"paid workers for planting crops",agriculture
"paid farm workers for harvesting",agriculture
"wages paid to agricultural workers",agriculture
"paid labor charges for field work",agriculture
"paid workers for preparing the land",agriculture
"rented a tractor for ploughing the field",agriculture
"paid tractor rental for farm work",agriculture
"rented farm machinery for harvesting",agriculture
"paid for tractor work on my farm",agriculture
"rented a cultivator for the field",agriculture
"paid for repairing the irrigation pump",agriculture
"bought a water pipe for irrigation",agriculture
"paid for drip irrigation equipment",agriculture
"purchased irrigation materials for the farm",agriculture
"paid for repairing the farm water pump",agriculture
"bought a new agricultural sprayer",agriculture
"purchased farming tools for the field",agriculture
"bought a sickle and other harvesting tools",agriculture
"paid for repairing farm equipment",agriculture
"purchased a small farm machine",agriculture
"bought cattle feed for the cows",agriculture
"paid for feed for farm animals",agriculture
"purchased goat feed for livestock",agriculture
"bought medicine for farm cattle",agriculture
"paid for veterinary medicine for livestock",agriculture
"paid to transport crops from the farm",agriculture
"paid for storing harvested crops",agriculture
"paid for crop storage after harvest",agriculture
"purchased materials for farming activities",agriculture
"paid for preparing the field before sowing",agriculture
"paid for ploughing the agricultural land",agriculture
"bought paddy fertilizer from the local dealer",agriculture
"purchased seeds for the next crop season",agriculture
"paid for harvesting the rice crop",agriculture
"bought a hose for farm irrigation",agriculture
"paid for cleaning the irrigation channel",agriculture
"purchased a pesticide sprayer for the field",agriculture
"paid for crop spraying service",agriculture
"bought insecticide for vegetable plants",agriculture
"paid for removing weeds from the field",agriculture
"purchased compost for vegetable cultivation",agriculture
"paid for manure delivery to the farm",agriculture
"bought farming gloves and field tools",agriculture
"paid for sharpening farm harvesting tools",agriculture
"purchased a shovel for farm work",agriculture
"paid for tractor ploughing services",agriculture
"booked a tractor for crop cultivation",agriculture
"paid for harvesting machine rental",agriculture
"bought feed for dairy animals",agriculture
"paid for cattle feed delivery",agriculture
"purchased medicine for a sick cow",agriculture
"paid the vet for treating farm animals",agriculture
"bought seeds for growing vegetables",agriculture
"paid for nursery plants for the farm",agriculture
"purchased drip lines for the crop field",agriculture
"paid for repairing irrigation pipes",agriculture
"paid laborers for sowing the seeds",agriculture
"paid workers for collecting the harvested crop",agriculture
"paid for transporting vegetables from the farm",agriculture
"paid for agricultural equipment maintenance",agriculture
"paid for buying paddy seedlings",agriculture
"purchased groundnut seeds for the farm",agriculture
"bought chilli seeds for cultivation",agriculture
"paid for seed treatment before planting",agriculture
"purchased crop nutrients for the field",agriculture
"paid for fertilizer delivery to the farm",agriculture
"bought fungicide to protect the crop",agriculture
"paid for treating fungal disease in crops",agriculture
"purchased a backpack sprayer for farming",agriculture
"paid for pest control in the crop field",agriculture
"paid workers for transplanting seedlings",agriculture
"paid farmhands for weeding the crops",agriculture
"paid labor charges during harvest season",agriculture
"rented a tractor for preparing the soil",agriculture
"paid for a combine harvester rental",agriculture
"bought a motor for the irrigation system",agriculture
"paid to fix the farm irrigation system",agriculture
"purchased water storage equipment for farming",agriculture
"bought fodder for the farm cattle",agriculture
"paid for veterinary treatment of a goat",agriculture
"purchased equipment for storing grain",agriculture
"paid for loading harvested crops",agriculture
"paid for transporting grain to storage",agriculture
"bought tarpaulin for protecting stored crops",agriculture
"paid for maintaining the farm machinery",agriculture
